,Unnamed: 0,FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,DISCOVERY_DATE,FIRE_SIZE,DATE,zipcode,address
17,18,2010,Miscellaneous,36.35611111,-120.20888888,CA,2455282.5,1.0,2010-03-27,93609,"Alvina Elementary School, West Saginaw Avenue, Fresno County, California, 93609, United States"
18,19,2010,Miscellaneous,36.85111111,-120.56305555,CA,2455282.5,1.0,2010-03-27,93210,"22513, West Cadillac Avenue, Fresno County, California, 93210, United States"
19,20,2010,Debris Burning,36.97194444,-120.60888888,CA,2455288.5,0.1,2010-04-02,93622,"41400, West Nees Avenue, Fresno County, California, 93622, United States"
20,21,2010,Miscellaneous,36.70805555,-119.66388888,CA,2455302.5,0.1,2010-04-16,93620,"16217, Bryant Avenue, Merced County, California, 93620, United States"
21,22,2010,Equipment Use,36.82305555,-119.62611111,CA,2455332.5,0.3,2010-05-16,93727,"1968, South Temperance Avenue, Fresno, Fresno County, California, 93727, United States"
22,23,2010,Equipment Use,36.13805555,-120.15611111,CA,2455332.5,1.0,2010-05-16,93619,"6007, North Montana Avenue, Fresno County, California, 93619, United States"
23,24,2010,Miscellaneous,36.85111111,-120.56305555,CA,2455334.5,200.0,2010-05-18,93234,"19902, West Jayne Avenue, Vernon Thomas Ranch, Fresno County, California, 93234, United States"
24,25,2010,Miscellaneous,36.79,-120.37388888,CA,2455335.5,0.3,2010-05-19,93622,"41400, West Nees Avenue, Fresno County, California, 93622, United States"
25,26,2010,Miscellaneous,36.85194444,-119.62611111,CA,2455335.5,1.0,2010-05-19,93640,"Helm Canal Road, Fresno County, California, 93640, United States"
26,27,2010,Equipment Use,36.67805555,-119.78611111,CA,2455335.5,2.0,2010-05-19,93619,"8710, East Nees Avenue, Fresno County, California, 93619, United States"
27,28,2010,Debris Burning,36.20388888,-120.09888888,CA,2455336.5,1.0,2010-05-20,93725,"Yosemite Freeway, Fresno County, California, 93725, United States"
28,29,2010,Debris Burning,36.56194444,-119.71694444,CA,2455336.5,1.0,2010-05-20,93234,"16416, 9th Street, Huron, Fresno County, California, 93234, United States"
29,30,2010,Miscellaneous,36.66305555,-119.755,CA,2455337.5,1.0,2010-05-21,93725,"4116, East Nebraska Avenue, Monmouth, Fresno County, California, 93725, United States"
30,32,2010,Equipment Use,36.81305555,-119.625,CA,2455373.5,1.0,2010-06-26,93725,"5017, South Cedar Avenue, Fresno County, California, 93725, United States"
31,33,2010,Debris Burning,36.705,-119.37611111,CA,2455348.5,1.0,2010-06-01,93725,"2288, South Cedar Avenue, Fresno, Fresno County, California, 93725, United States"
32,34,2010,Miscellaneous,36.57611111,-119.64694444,CA,2455348.5,4.0,2010-06-01,93737,"North Highland Avenue, Fresno County, California, 93737, United States"
33,35,2010,Miscellaneous,36.56805555,-119.95305555,CA,2455349.5,50.0,2010-06-02,93654,"23000, Jensen Avenue, Fresno County, California, 93654, United States"
34,36,2010,Miscellaneous,36.72388888,-119.58305555,CA,2455350.5,0.1,2010-06-03,93662,"7987, East Floral Avenue, Fresno County, California, 93662, United States"
35,37,2010,Miscellaneous,36.75694444,-120.38888888,CA,2455351.5,0.1,2010-06-04,93609,"11429, South Westlawn Avenue, Fresno County, California, 93609, United States"
36,38,2010,Miscellaneous,36.67194444,-120.53694444,CA,2455351.5,0.1,2010-06-04,93657,"954, South Indianola Avenue, Sanger, Fresno County, California, 93657, United States"
37,39,2010,Equipment Use,36.82388888,-119.57388888,CA,2455351.5,2.0,2010-06-04,93640,"McCabe Elementary School, Sorensen Avenue, Mendota, Fresno County, California, 93640, United States"
38,40,2010,Equipment Use,36.85111111,-120.56305555,CA,2455351.5,250.0,2010-06-04,93640,"40001, West Panoche Road, Pilibos Ranch, Fresno County, California, 93640, United States"
39,41,2010,Miscellaneous,36.725,-119.57,CA,2455352.5,4.0,2010-06-05,93619,"5970, North Bethel Avenue, Fresno County, California, 93619, United States"
40,42,2010,Equipment Use,36.75,-119.59194444,CA,2455352.5,1.0,2010-06-05,93622,"41400, West Nees Avenue, Fresno County, California, 93622, United States"
41,43,2010,Debris Burning,36.57611111,-119.64694444,CA,2455353.5,2.0,2010-06-06,93657,"12288, East Woods Avenue, Fresno County, California, 93657, United States"
42,44,2010,Miscellaneous,36.71305555,-119.76,CA,2455304.5,0.1,2010-04-18,93657,"11003, East Belmont Avenue, Elk, Fresno County, California, 93657, United States"
43,45,2010,Miscellaneous,36.67805555,-119.78611111,CA,2455304.5,0.1,2010-04-18,93662,"7987, East Floral Avenue, Fresno County, California, 93662, United States"
44,46,2010,Children,36.72,-119.72694444,CA,2455315.5,1.0,2010-04-29,93725,"3879, East Eugenia Avenue, Fresno, Fresno County, California, 93725, United States"
45,47,2010,Miscellaneous,36.67805555,-119.78611111,CA,2455317.5,0.1,2010-05-01,93725,"Yosemite Freeway, Fresno County, California, 93725, United States"
46,48,2010,Children,36.68805555,-119.55611111,CA,2455318.5,0.3,2010-05-02,93725,"2151, South Willow Avenue, Fresno, Fresno County, California, 93725, United States"
47,49,2010,Miscellaneous,36.95305555,-120.62805555,CA,2455319.5,0.1,2010-05-03,93725,"Yosemite Freeway, Fresno County, California, 93725, United States"
48,50,2010,Miscellaneous,36.54694444,-119.59611111,CA,2455321.5,1.0,2010-05-05,93657-4001,"Sanger Avenue, Sanger, Fresno County, California, 93657-4001, United States"
49,51,2010,Equipment Use,36.67,-119.73694444,CA,2455323.5,0.1,2010-05-07,93620,"15203, North Elgin Avenue, Merced County, California, 93620, United States"
50,52,2010,Miscellaneous,36.72194444,-119.72694444,CA,2455324.5,1.0,2010-05-08,93662,"East Mountain View Avenue, Fresno County, California, 93662, United States"
51,53,2010,Debris Burning,36.53111111,-120.48611111,CA,2455327.5,4.0,2010-05-11,93725,"4435, South Chestnut Avenue, Monmouth, Fresno County, California, 93725, United States"
52,54,2010,Miscellaneous,36.75611111,-120.38611111,CA,2455328.5,0.1,2010-05-12,93727,"2099, South Willow Avenue, Fresno, Fresno County, California, 93727, United States"
53,56,2010,Debris Burning,36.63388888,-119.51111111,CA,2455341.5,0.1,2010-05-25,93608,"West Kamm Avenue, Fresno County, California, 93608, United States"
54,57,2010,Miscellaneous,36.63388888,-119.69388888,CA,2455341.5,1.0,2010-05-25,93640,"1758, 4th Street, Mendota, Fresno County, California, 93640, United States"
55,58,2010,Arson,36.71888888,-119.73305555,CA,2455343.5,1.0,2010-05-27,93725,"2151, South Willow Avenue, Fresno, Fresno County, California, 93725, United States"
56,59,2010,Equipment Use,36.41805555,-119.79805555,CA,2455343.5,6.0,2010-05-27,93648,"6998, South Riverbend Avenue, Fresno County, California, 93648, United States"
57,60,2010,Miscellaneous,36.41611111,-119.79805555,CA,2455344.5,1.0,2010-05-28,93625,"West Adams Avenue, Fresno County, California, 93625, United States"
58,61,2010,Miscellaneous,36.83694444,-119.55611111,CA,2455346.5,21.0,2010-05-30,93725,"2249, South Laureen Avenue, Fresno, Fresno County, California, 93725, United States"
59,62,2010,Miscellaneous,36.35611111,-120.30305555,CA,2455346.5,5.0,2010-05-30,93242,"21900, South Elm Avenue, Camden, Fresno County, California, 93242, United States"
60,63,2010,Miscellaneous,36.20388888,-120.09888888,CA,2455347.5,1.0,2010-05-31,93242,"22022, South Elm Avenue, Camden, Fresno County, California, 93242, United States"
61,64,2010,Arson,36.71888888,-119.72694444,CA,2455347.5,1.0,2010-05-31,93619,"12987, East Herndon Avenue, Fresno County, California, 93619, United States"
62,65,2010,Children,36.765,-119.58694444,CA,2455347.5,1.0,2010-05-31,93210,"23397, West Cadillac Avenue, Fresno County, California, 93210, United States"
63,66,2010,Miscellaneous,36.57611111,-119.635,CA,2455348.5,0.1,2010-06-01,93234,"16416, 9th Street, Huron, Fresno County, California, 93234, United States"
64,68,2010,Equipment Use,36.72,-119.38111111,CA,2455353.5,1.0,2010-06-06,93725,"2183, South Willow Avenue, Fresno, Fresno County, California, 93725, United States"
65,69,2010,Miscellaneous,36.85,-120.77194444,CA,2455354.5,0.3,2010-06-07,93657,"11226, East McKinley Avenue, Burness, Fresno County, California, 93657, United States"
66,70,2010,Miscellaneous,36.64305555,-120.61388888,CA,2455355.5,1.0,2010-06-08,93662,"8649, East Floral Avenue, Fresno County, California, 93662, United States"
67,71,2010,Arson,36.72,-119.72694444,CA,2455355.5,80.0,2010-06-08,93654,"7995, South Frankwood Avenue, Reedley, Fresno County, California, 93654, United States"
68,72,2010,Arson,36.69888888,-119.87194444,CA,2455356.5,1.0,2010-06-09,93654,"22984, East Kings Canyon Road, Fresno County, California, 93654, United States"
69,73,2010,Equipment Use,36.60388888,-120.06111111,CA,2455356.5,3.0,2010-06-09,93622,"53979, West Nees Avenue, Fresno County, California, 93622, United States"
70,75,2010,Miscellaneous,36.50111111,-120.38888888,CA,2455357.5,1.0,2010-06-10,93622,"45360, West Panoche Road, Chaney Ranch, Fresno County, California, 93622, United States"
71,76,2010,Debris Burning,36.255,-120.10388888,CA,2455364.5,6.0,2010-06-17,93725,"2151, South Willow Avenue, Fresno, Fresno County, California, 93725, United States"
72,78,2010,Equipment Use,36.18194444,-120.05,CA,2455365.5,5.0,2010-06-18,93706,"4423, West Annadale Avenue, Fresno, Fresno County, California, 93706, United States"
73,79,2010,Miscellaneous,36.92111111,-119.73388888,CA,2455365.5,1.0,2010-06-18,93630,"15999, West Manning Avenue, Raisin City, Fresno County, California, 93630, United States"
74,80,2010,Miscellaneous,36.43194444,-119.92305555,CA,2455366.5,1.0,2010-06-19,93654,"7483, South Pedersen Avenue, Fresno County, California, 93654, United States"
75,81,2010,Miscellaneous,36.61194444,-119.52111111,CA,2455366.5,1.0,2010-06-19,93608,"16050, South Derrick Avenue, Giffen Cantua Ranch, Fresno County, California, 93608, United States"
76,83,2010,Arson,36.67805555,-119.735,CA,2455367.5,1.0,2010-06-20,93234,"South Lassen Avenue, Huron, Fresno County, California, 93234, United States"
77,84,2010,Children,36.59194444,-119.89888888,CA,2455367.5,1.0,2010-06-20,93234,"9th Street, Huron, Fresno County, California, 93234, United States"
78,85,2010,Miscellaneous,37.03805555,-119.64888888,CA,2455369.5,275.0,2010-06-22,93234,"West Gale Avenue, Kings County, California, 93234, United States"
79,86,2010,Miscellaneous,36.65611111,-119.73694444,CA,2455369.5,5.0,2010-06-22,93730,"1801, East Birkhead Avenue, Fresno County, California, 93730, United States"
80,87,2010,Debris Burning,36.77111111,-119.57388888,CA,2455358.5,2.1,2010-06-11,93656,"20906, South Grantland Avenue, Lanare, Fresno County, California, 93656, United States"
81,88,2010,Miscellaneous,36.63305555,-120.38805555,CA,2455359.5,5.0,2010-06-12,93648,"8598, South Zediker Avenue, Parlier, Fresno County, California, 93648, United States"
82,89,2010,Miscellaneous,36.60694444,-119.53805555,CA,2455359.5,1.0,2010-06-12,93654,"1486, Cove Avenue, Fresno County, California, 93654, United States"
83,90,2010,Miscellaneous,36.98194444,-120.52694444,CA,2455360.5,1.0,2010-06-13,93725,"East Central Avenue, Malaga, Fresno County, California, 93725, United States"
84,91,2010,Miscellaneous,36.53,-119.79111111,CA,2455361.5,0.5,2010-06-14,93652,"9884, South Hayes Avenue, Raisin City, Fresno County, California, 93652, United States"
85,93,2010,Miscellaneous,36.765,-120.38694444,CA,2455362.5,1.0,2010-06-15,93626,"28998, Sky Harbour Road, Fresno County, California, 93626, United States"
86,94,2010,Debris Burning,36.98194444,-120.58111111,CA,2455362.5,1.0,2010-06-15,93725,"2997, East Jefferson Avenue, Fresno County, California, 93725, United States"
87,95,2010,Arson,36.57611111,-119.64694444,CA,2455363.5,1.0,2010-06-16,93657,"2450, North Bethel Avenue, Fresno County, California, 93657, United States"
88,96,2010,Equipment Use,36.71694444,-119.76388888,CA,2455363.5,1.0,2010-06-16,93640,"7598, Derrick Avenue, Mendota, Fresno County, California, 93640, United States"
89,97,2010,Equipment Use,36.43,-119.94111111,CA,2455369.5,0.1,2010-06-22,93648,"264, Kelly Avenue, Parlier, Fresno County, California, 93648, United States"
90,98,2010,Equipment Use,36.675,-119.53805555,CA,2455370.5,0.3,2010-06-23,93620,"40664, Valeria Avenue, Fresno County, California, 93620, United States"
91,99,2010,Miscellaneous,36.67,-119.48888888,CA,2455371.5,1.0,2010-06-24,93609,"14159, South Elm Avenue, Easton, Fresno County, California, 93609, United States"
92,100,2010,Miscellaneous,36.255,-120.10388888,CA,2455372.5,1.0,2010-06-25,93648,"905, South Newmark Avenue, Parlier, Fresno County, California, 93648, United States"
93,102,2010,Smoking,36.935,-120.56388888,CA,2455372.5,2.0,2010-06-25,93640,"2402, Bass Avenue, Mendota, Fresno County, California, 93640, United States"
94,103,2010,Smoking,36.43111111,-119.66388888,CA,2455374.5,0.3,2010-06-27,93620,"43988, Val Avenue, Fresno County, California, 93620, United States"
95,105,2010,Debris Burning,36.61194444,-119.55694444,CA,2455375.5,0.2,2010-06-28,93662,"7987, East Floral Avenue, Fresno County, California, 93662, United States"
96,106,2010,Miscellaneous,36.65,-119.79194444,CA,2455376.5,1.0,2010-06-29,93725,"2317, South Orange Avenue, Fresno, Fresno County, California, 93725, United States"
97,107,2010,Equipment Use,36.43111111,-119.80111111,CA,2455377.5,0.1,2010-06-30,93656,"21010, South Chateau Fresno Avenue, Fresno County, California, 93656, United States"
98,108,2010,Miscellaneous,36.50111111,-120.38888888,CA,2455382.5,1.0,2010-07-05,93657,"4194, South Channel Road, Sanger, Fresno County, California, 93657, United States"
99,109,2010,Miscellaneous,36.725,-119.57,CA,2455383.5,1.0,2010-07-06,93657,"16820, East Goodfellow Avenue, Fresno County, California, 93657, United States"
100,110,2010,Miscellaneous,36.69194444,-119.565,CA,2455383.5,1.0,2010-07-06,93234,"South Lassen Avenue, Huron, Fresno County, California, 93234, United States"
101,111,2010,Miscellaneous,36.59,-119.46888888,CA,2455383.5,0.1,2010-07-06,93234,"West Gale Avenue, Kings County, California, 93234, United States"
102,112,2010,Debris Burning,36.66305555,-119.8,CA,2455383.5,1.0,2010-07-06,93620,"11087, Fairfax Avenue, Fresno County, California, 93620, United States"
103,113,2010,Miscellaneous,36.725,-119.51111111,CA,2455384.5,1.0,2010-07-07,93242,"7498, East Mount Whitney Avenue, Fresno County, California, 93242, United States"
104,115,2010,Miscellaneous,36.21,-120.08611111,CA,2455385.5,3.0,2010-07-08,93622,"51488, West Shields Avenue, Fresno County, California, 93622, United States"
105,117,2010,Equipment Use,36.83694444,-119.55611111,CA,2455385.5,3.0,2010-07-08,93648,"8703, South Academy Avenue, Parlier, Fresno County, California, 93648, United States"
106,118,2010,Miscellaneous,36.95388888,-120.62805555,CA,2455386.5,1.0,2010-07-09,93706,"80, West Willamette Avenue, Easton, Fresno County, California, 93706, United States"
107,119,2010,Miscellaneous,36.66888888,-119.44194444,CA,2455394.5,0.3,2010-07-17,93656,"98, West Mount Whitney Avenue, Camden, Riverdale, Fresno County, California, 93656, United States"
108,120,2010,Debris Burning,36.63305555,-119.40388888,CA,2455395.5,1.0,2010-07-18,93608,"16050, South Derrick Avenue, Giffen Cantua Ranch, Fresno County, California, 93608, United States"
109,121,2010,Miscellaneous,36.73111111,-119.47111111,CA,2455396.5,1.0,2010-07-19,93657,"12288, East Woods Avenue, Fresno County, California, 93657, United States"
110,122,2010,Miscellaneous,36.67805555,-119.735,CA,2455396.5,1.0,2010-07-19,93657,"1889, Rawson Avenue, Sanger, Fresno County, California, 93657, United States"
111,123,2010,Miscellaneous,36.73111111,-119.47111111,CA,2455396.5,1.0,2010-07-19,93654,"17820, East Dinuba Avenue, Fresno County, California, 93654, United States"
112,124,2010,Miscellaneous,36.255,-120.10388888,CA,2455398.5,1.0,2010-07-21,93706,"5007, South Fig Avenue, Fresno, Fresno County, California, 93706, United States"
113,125,2010,Debris Burning,36.765,-120.38694444,CA,2455400.5,1.0,2010-07-23,93657,"Sanger Cemetery, South Rainbow Avenue, Centerville, Fresno County, California, 93657, United States"
114,126,2010,Arson,36.72194444,-119.55611111,CA,2455400.5,1.0,2010-07-23,93242,"21682, South Elm Avenue, Camden, Fresno County, California, 93242, United States"
115,127,2010,Miscellaneous,36.54694444,-119.78611111,CA,2455401.5,0.3,2010-07-24,53232,"South Siskiyou Avenue, Huron, Fresno County, California, 53232, United States"
116,128,2010,Miscellaneous,36.68305555,-119.38388888,CA,2455401.5,1.0,2010-07-24,93626,"13038, North Friant Road, Fresno, Fresno County, California, 93626, United States"
117,129,2010,Miscellaneous,36.59,-119.46694444,CA,2455402.5,0.3,2010-07-25,93619,"12987, East Herndon Avenue, Fresno County, California, 93619, United States"
118,130,2010,Arson,36.71888888,-119.72694444,CA,2455402.5,1.0,2010-07-25,93620,"46560, North Elgin Avenue, South Dos Palos, Merced County, California, 93620, United States"
119,131,2010,Miscellaneous,36.18,-120.37305555,CA,2455414.5,0.5,2010-08-06,93654,"19297, Goodfellow Avenue, Fresno County, California, 93654, United States"
120,132,2010,Miscellaneous,36.67805555,-119.565,CA,2455417.5,3.0,2010-08-09,93654,"6999, South Pedersen Avenue, Fresno County, California, 93654, United States"
121,133,2010,Equipment Use,36.83194444,-119.60194444,CA,2455418.5,1.0,2010-08-10,93657,"CA 180, Minkler, Fresno County, California, 93657, United States"
122,134,2010,Miscellaneous,36.66194444,-119.43,CA,2455420.5,1.0,2010-08-12,93725,"East Central Avenue, Malaga, Fresno County, California, 93725, United States"
123,135,2010,Debris Burning,36.675,-119.40305555,CA,2455420.5,1.0,2010-08-12,93657,"CA 180, Minkler, Fresno County, California, 93657, United States"
124,136,2010,Miscellaneous,36.63388888,-119.78611111,CA,2455420.5,1.0,2010-08-12,93234,"South Lassen Avenue, Huron, Fresno County, California, 93234, United States"
125,137,2010,Miscellaneous,36.73694444,-119.66111111,CA,2455422.5,0.1,2010-08-14,93640,"2402, Bass Avenue, Mendota, Fresno County, California, 93640, United States"
126,138,2010,Miscellaneous,36.74888888,-120.38694444,CA,2455423.5,1.0,2010-08-15,93657,"East Switch Avenue, Fresno County, California, 93657, United States"
127,139,2010,Miscellaneous,36.765,-120.38388888,CA,2455423.5,1.0,2010-08-15,93609,"Yosemite Freeway, Elm View, Fresno County, California, 93609, United States"
128,140,2010,Miscellaneous,36.60305555,-120.38888888,CA,2455430.5,1.0,2010-08-22,93654,"3509, Olive Avenue, Navelencia, Fresno County, California, 93654, United States"
129,141,2010,Smoking,36.77805555,-120.56694444,CA,2455431.5,1.0,2010-08-23,93654,"17986, East Dinuba Avenue, Fresno County, California, 93654, United States"
130,142,2010,Miscellaneous,36.605,-119.76388888,CA,2455435.5,1.0,2010-08-27,93725,"2183, South Willow Avenue, Fresno, Fresno County, California, 93725, United States"
131,143,2010,Miscellaneous,36.53194444,-119.55694444,CA,2455435.5,1.0,2010-08-27,93210,"32156, West Gale Avenue, Coalinga, Fresno County, California, 93210, United States"
132,145,2010,Miscellaneous,36.64111111,-119.785,CA,2455435.5,1.0,2010-08-27,93657-4001,"12468, East Central Avenue, Fresno County, California, 93657-4001, United States"
133,146,2010,Miscellaneous,36.63388888,-119.78611111,CA,2455435.5,0.3,2010-08-27,93619,"6646, Forrestal Avenue, Fresno County, California, 93619, United States"
134,147,2010,Miscellaneous,36.78388888,-120.405,CA,2455436.5,1.0,2010-08-28,93654,"20025, East American Avenue, Fresno County, California, 93654, United States"
135,148,2010,Miscellaneous,36.545,-120.38888888,CA,2455436.5,0.4,2010-08-28,93654,"4007, South Pedersen Avenue, Fresno County, California, 93654, United States"
136,149,2010,Children,36.85611111,-119.675,CA,2455436.5,0.3,2010-08-28,93725,"Yosemite Freeway, Easton, Fresno County, California, 93725, United States"
137,150,2010,Miscellaneous,36.54694444,-119.88111111,CA,2455447.5,0.1,2010-09-08,93737,"7179, East Kings Canyon Road, Fresno County, California, 93737, United States"
138,151,2010,Debris Burning,36.60305555,-120.19888888,CA,2455449.5,1.0,2010-09-10,93640,"786, CA 33, Mendota, Fresno County, California, 93640, United States"
139,152,2010,Miscellaneous,36.825,-119.56888888,CA,2455452.5,1.0,2010-09-13,93640,"2439, Bass Avenue, Mendota, Fresno County, California, 93640, United States"
140,154,2010,Miscellaneous,36.59,-119.85388888,CA,2455454.5,1.0,2010-09-15,93640,"10585, Derrick Avenue, Mendota, Fresno County, California, 93640, United States"
141,155,2010,Debris Burning,36.69194444,-119.81305555,CA,2455479.5,1.0,2010-10-10,93622,"2099, North Fairfax Avenue, Fresno County, California, 93622, United States"
142,156,2010,Debris Burning,36.58111111,-119.395,CA,2455480.5,5.0,2010-10-11,93725,"9013, South Orange Avenue, Fresno County, California, 93725, United States"
143,158,2010,Miscellaneous,36.605,-119.845,CA,2455484.5,1.0,2010-10-15,93631,"14020, South Academy Avenue, Kingsburg, Fresno County, California, 93631, United States"
144,159,2010,Miscellaneous,36.70694444,-119.68194444,CA,2455485.5,0.2,2010-10-16,93725,"Yosemite Freeway, Easton, Fresno County, California, 93725, United States"
145,160,2010,Miscellaneous,36.62694444,-119.64611111,CA,2455493.5,1.0,2010-10-24,93725,"325, East Clayton Avenue, Fresno County, California, 93725, United States"
146,161,2010,Debris Burning,36.66305555,-119.62805555,CA,2455498.5,1.0,2010-10-29,93725,"Yosemite Freeway, Easton, Fresno County, California, 93725, United States"
147,162,2010,Debris Burning,36.95305555,-120.6,CA,2455498.5,1.0,2010-10-29,93640,"CA 33, Fresno County, California, 93640, United States"
148,163,2010,Miscellaneous,36.96694444,-120.62694444,CA,2455502.5,0.1,2010-11-02,93640,"Derrick Avenue, Mendota, Fresno County, California, 93640, United States"
149,164,2010,Miscellaneous,36.765,-120.38694444,CA,2455380.5,0.3,2010-07-03,93619,"8406, North Armstrong Avenue, Fresno County, California, 93619, United States"
150,165,2010,Equipment Use,36.88611111,-119.68388888,CA,2455380.5,1.0,2010-07-03,93609,"13000, South Cornelia Avenue, Fresno, Fresno County, California, 93609, United States"
151,166,2010,Children,36.69194444,-119.52805555,CA,2455380.5,1.0,2010-07-03,93660,"West Manning Avenue, San Joaquin, Fresno County, California, 93660, United States"
152,167,2010,Children,36.97388888,-119.725,CA,2455380.5,1.0,2010-07-03,93619,"12290, East Los Altos Avenue, Fresno County, California, 93619, United States"
153,168,2010,Miscellaneous,36.42388888,-119.71111111,CA,2455381.5,2.0,2010-07-04,93662,"8758, South Indianola Avenue, Fresno County, California, 93662, United States"
154,169,2010,Arson,36.66305555,-119.57388888,CA,2455381.5,1.0,2010-07-04,93706,"3499, West Dinuba Avenue, Fresno County, California, 93706, United States"
155,171,2010,Miscellaneous,36.50305555,-120.39,CA,2455381.5,1.0,2010-07-04,93721,"New Hope Church of God in Christ, West North Avenue, Fresno, Fresno County, California, 93721, United States"
156,172,2010,Miscellaneous,36.69305555,-119.72694444,CA,2455381.5,0.1,2010-07-04,93618,"10566, South Alta Avenue, Fresno County, California, 93618, United States"
157,173,2010,Miscellaneous,36.71305555,-119.85111111,CA,2455382.5,0.1,2010-07-05,93737,"Fresno County, California, 93737, United States"
158,174,2010,Miscellaneous,36.76194444,-120.39111111,CA,2455386.5,5.0,2010-07-09,93706,"3007, West Manning Avenue, Fresno County, California, 93706, United States"
159,175,2010,Railroad,36.64888888,-119.70305555,CA,2455386.5,1.0,2010-07-09,93725,"2026, South Fowler Avenue, Fresno County, California, 93725, United States"
160,176,2010,Railroad,36.64888888,-119.70305555,CA,2455386.5,1.0,2010-07-09,93625,"7564, South De Wolf Avenue, Fresno County, California, 93625, United States"
161,177,2010,Miscellaneous,36.67805555,-119.565,CA,2455387.5,1.0,2010-07-10,93616,"8995, East American Avenue, Fresno County, California, 93616, United States"
162,178,2010,Miscellaneous,36.79,-120.36305555,CA,2455387.5,23.0,2010-07-10,93620,"15019, Brannon Avenue, Merced County, California, 93620, United States"
163,179,2010,Miscellaneous,36.43805555,-119.69888888,CA,2455388.5,5.0,2010-07-11,93620,"15797, Folsom Avenue, Merced County, California, 93620, United States"
164,180,2010,Arson,36.68388888,-119.565,CA,2455389.5,0.5,2010-07-12,93640,"2402, Bass Avenue, Mendota, Fresno County, California, 93640, United States"
165,181,2010,Miscellaneous,36.77,-120.38305555,CA,2455391.5,1.0,2010-07-14,93619,"10466, North Fowler Avenue, Fresno County, California, 93619, United States"
166,183,2010,Miscellaneous,36.72111111,-119.72694444,CA,2455394.5,1.0,2010-07-17,93657,"3183, South Channel Road, Sanger, Fresno County, California, 93657, United States"
167,184,2010,Miscellaneous,36.74805555,-120.37111111,CA,2455403.5,1.0,2010-07-26,93626,"North Friant Road, Friant, Fresno County, California, 93626, United States"
168,185,2010,Miscellaneous,36.67611111,-119.73694444,CA,2455403.5,1.0,2010-07-26,93242,"4998, East Wood Avenue, Fresno County, California, 93242, United States"
